domain,port,metadata_comment,ip
cloud.dangerb.com,34443,Possible NanoKVM Domain (Unverified),188.243.229.26
cloud.denr01.com,8573,Possible NanoKVM Domain (Unverified),217.70.27.151
cloud.hmdock.ru,5655,Possible NanoKVM Domain (Unverified),93.90.41.80
cloud.sdvs.su,10443,Possible NanoKVM Domain (Unverified),95.31.3.184
collabora.noobie.fr,4443,Possible PiKVM Domain (Unverified),176.174.28.77
connector.starry-plain.cn,10443,Possible PiKVM Domain (Unverified),103.27.79.112
conta.alexserv.xyz,8282,Possible PiKVM Domain (Unverified),82.77.117.180
cravas.duckdns.org,40443,Possible PiKVM Domain (Unverified),94.62.130.172
crazy.good-dragon.com,131,Possible NanoKVM Domain (Unverified),71.61.163.95
cyuno8myra8jz7ke.myfritz.net,443,Possible PiKVM Domain (Unverified),78.43.158.128
daminira.duckdns.org,50055,Possible NanoKVM Domain (Unverified),46.188.48.106
darflow.okta-solutions.com,21001,Possible PiKVM Domain (Unverified),5.101.200.111
dcerma.cz,7000,Possible PiKVM Domain (Unverified),213.168.181.195
deadatdawn.crazedns.ru,8745,Possible GLKVM Domain (Unverified),194.28.29.99
debilausau.re,1200,Possible NanoKVM Domain (Unverified),90.109.191.130
derp.taigelinganxian.asia,8443,Possible PiKVM Domain (Unverified),8.210.124.104
derp2.gjengedal.dev,43443,Possible NanoKVM Domain (Unverified),95.111.170.51
device-05a0108e-33c5-411e-bc4c-612968c81d00.remotewd.com,8443,Possible PiKVM Domain (Unverified),95.31.214.45
device-3234ddd7-5a1f-4de6-b73a-1da38ab9259d.remotewd.com,445,Possible GLKVM Domain (Unverified),162.191.89.154
device-9674ecf8-f655-40ee-a5fd-0c4a7d6759f6.remotewd.com,80,Possible NanoKVM Domain (Unverified),213.132.76.112
device-9fbcf972-0b25-4d13-abbb-53d88cb112a2.remotewd.com,65535,Possible NanoKVM Domain (Unverified),95.66.227.47
device-c7c9a807-6376-4569-8cae-43d2110617de.remotewd.com,443,Possible PiKVM Domain (Unverified),173.32.72.26
device-c7c9a807-6376-4569-8cae-43d2110617de.remotewd.com,80,Possible PiKVM Domain (Unverified),173.32.72.26
device-c7e11c78-03a6-49d9-b168-a6c6d6130027.remotewd.com,443,Possible NanoKVM Domain (Unverified),82.207.30.195
device-cbc118c4-ffdc-406b-8e9c-abd061e44822.remotewd.com,5280,Possible GLKVM Domain (Unverified),142.198.186.88
dfder.synology.me,50001,Possible NanoKVM Domain (Unverified),61.221.207.45
diasporaforlebanon.com,48888,Possible PiKVM Domain (Unverified),47.180.83.69
diasporaforlebanon.com,4889,Possible PiKVM Domain (Unverified),47.180.83.69
dlchamb.ckinf.com,4443,Possible GLKVM Domain (Unverified),176.149.234.91
dlchamb.ckinf.com,5443,Possible GLKVM Domain (Unverified),176.149.234.91
dohist.zmcna.net,10433,Possible PiKVM Domain (Unverified),23.121.95.13
dolmen.shatteredatoms.com,44543,Possible PiKVM Domain (Unverified),75.51.26.43
drive.shfactory.co.kr,9445,Possible NanoKVM Domain (Unverified),121.124.204.34
drivtek2024.direct.quickconnect.to,80,Possible NanoKVM Domain (Unverified),213.136.57.5
ds.home.meowtopia.space,580,Possible NanoKVM Domain (Unverified),223.167.38.126
du4.us,62348,Possible NanoKVM Domain (Unverified),82.65.98.164
dune.royalm.dk,443,Possible PiKVM Domain (Unverified),87.56.59.225
dune.royalm.dk,80,Possible PiKVM Domain (Unverified),65.108.227.254
dush9.mdoy.pro,6443,Possible NanoKVM Domain (Unverified),46.191.159.18
dvr-l1.galgo.io,11225,Possible NanoKVM Domain (Unverified),138.97.201.116
dwagiedermt.ddnsfree.com,9443,Possible GLKVM Domain (Unverified),1.34.23.242
dwisidagama.direct.quickconnect.to,8888,Possible GLKVM Domain (Unverified),92.70.185.106
dwisidagama.direct.quickconnect.to,8889,Possible GLKVM Domain (Unverified),92.70.185.106
eademidkovk.direct.quickconnect.to,3380,Possible NanoKVM Domain (Unverified),95.154.109.69
ecwork.asuscomm.com,5588,Possible PiKVM Domain (Unverified),98.248.142.168
ekaterina-nikityuk.ru,33444,Possible NanoKVM Domain (Unverified),77.239.233.165
element.carolinarheumatology.com,443,Possible NanoKVM Domain (Unverified),152.117.98.198
emcnair.direct.quickconnect.to,443,Possible GLKVM Domain (Unverified),76.149.0.47
ertug4055.direct.quickconnect.to,5810,Possible PiKVM Domain (Unverified),185.161.201.86
esi032wyiwkqd9fs.myfritz.net,4431,Possible GLKVM Domain (Unverified),93.249.7.162
esi032wyiwkqd9fs.myfritz.net,4432,Possible GLKVM Domain (Unverified),93.249.7.162
essa.amn.team,8443,Possible GLKVM Domain (Unverified),150.136.117.14
fdlab.pw,443,Possible GLKVM Domain (Unverified),76.133.139.205
fedyushkina.ru,8443,Possible NanoKVM Domain (Unverified),95.31.132.12
ffpy.asia,9981,Possible PiKVM Domain (Unverified),124.228.248.27
file.dyatbit.ru,81,Possible NanoKVM Domain (Unverified),77.37.168.213
filebrowser.gtdshka.ru,8443,Possible PiKVM Domain (Unverified),77.37.156.169
files.isms.si,444,Possible TinyPilot KVM Domain (Unverified),93.103.128.78
firefin.loenberg.net,4443,Possible GLKVM Domain (Unverified),50.126.137.24
firewall.trinityturbine.com,62969,Possible PiKVM Domain (Unverified),50.205.90.234
flc.oh.3cx.us,80,Possible NanoKVM Domain (Unverified),96.11.67.2
fn.23sn.cc,38602,Possible PiKVM Domain (Unverified),43.161.230.89
fn.onpp.cc,2506,Possible PiKVM Domain (Unverified),58.38.54.138
foxcall.com,10443,Possible GLKVM Domain (Unverified),136.62.104.87
foxcall.com,11443,Possible GLKVM Domain (Unverified),136.62.104.87
fp.chiptuning.web.tr,888,Possible PiKVM Domain (Unverified),149.0.252.22
frid.synology.me,4343,Possible NanoKVM Domain (Unverified),37.204.54.154
ftp.tt-rc.de,10001,Possible NanoKVM Domain (Unverified),178.25.126.10
furry.i234.me,33333,Possible GLKVM Domain (Unverified),119.98.153.33
fw.fbifbi.com,443,Possible TinyPilot KVM Domain (Unverified),46.232.148.119
ganovquickservice.direct.quickconnect.to,59472,Possible NanoKVM Domain (Unverified),78.157.227.154
garyodonovan.com,300,Possible NanoKVM Domain (Unverified),136.53.196.118
george.myftp.org,8081,Possible PiKVM Domain (Unverified),124.244.142.226
gi1j80v020251109.sh3.ikuai7.com,19193,Possible PiKVM Domain (Unverified),122.51.87.146
giorgos-synology.direct.quickconnect.to,8080,Possible GLKVM Domain (Unverified),207.38.245.104
gitea.yandex5.ru,9090,Possible NanoKVM Domain (Unverified),188.32.143.214
gitlab.dronology.ovh,8085,Possible PiKVM Domain (Unverified),193.218.203.8
gkvm.reskinol.com.ua,8008,Possible NanoKVM Domain (Unverified),178.151.225.227
gkvm.reskinol.com.ua,8089,Possible NanoKVM Domain (Unverified),178.151.225.227
glkvm.makatun.net,443,Possible GLKVM Domain (Unverified),62.149.9.192
glkvm.makatun.net,80,Possible GLKVM Domain (Unverified),62.149.9.192
glkvm.reclusivepanda.cn,443,Possible GLKVM Domain (Unverified),124.223.24.3
gm.topmser.ddnsgeek.com,4445,Possible PiKVM Domain (Unverified),210.6.96.136
gmzozjoylyzicw6q.myfritz.net,80,Possible GLKVM Domain (Unverified),194.183.29.14
go.erudit23.ru,8050,Possible NanoKVM Domain (Unverified),193.242.148.251
go.erudit23.ru,8055,Possible NanoKVM Domain (Unverified),193.242.148.251
goodtaste2.direct.quickconnect.to,4343,Possible NanoKVM Domain (Unverified),114.33.70.204
gost.heiok.top,11127,Possible PiKVM Domain (Unverified),1.14.75.7
groundlift.keenetic.pro,808,Possible NanoKVM Domain (Unverified),46.166.240.106
gw-dc-1-gkbn.netcraze.link,8443,Possible NanoKVM Domain (Unverified),85.143.203.174
h3mj.synology.me,5555,Possible GLKVM Domain (Unverified),126.227.169.174
haagh.net,8443,Possible GLKVM Domain (Unverified),89.150.133.33
harbor.devops-labs.ru,9044,Possible NanoKVM Domain (Unverified),45.155.147.137
harryandblanche.direct.quickconnect.to,8000,Possible NanoKVM Domain (Unverified),136.53.196.118
hlabbe.synology.me,443,Possible GLKVM Domain (Unverified),76.102.11.72
home.gonzalez.se,8000,Possible NanoKVM Domain (Unverified),217.31.190.115
home.pltanton.dev,8888,Possible NanoKVM Domain (Unverified),87.228.164.95
home.wangzhen.me,12345,Possible NanoKVM Domain (Unverified),119.167.20.115
home.zhypro.cn,51111,Possible GLKVM Domain (Unverified),117.133.114.28
hs.agafonov.club,8484,Possible NanoKVM Domain (Unverified),89.19.177.198
hsinter.synology.me,5041,Possible GLKVM Domain (Unverified),75.40.52.208
hyperperceptron.asuscomm.com,3512,Possible PiKVM Domain (Unverified),123.192.65.137
hyperperceptron.asuscomm.com,4512,Possible PiKVM Domain (Unverified),123.192.65.137
hytecinter-tokyo.direct.quickconnect.to,3888,Possible NanoKVM Domain (Unverified),118.238.205.14
icones.tenshigoan.ru,16533,Possible NanoKVM Domain (Unverified),95.161.90.242
icpsco.net,443,Possible GLKVM Domain (Unverified),24.229.127.67
icpsco.net,80,Possible GLKVM Domain (Unverified),24.229.127.67
idired.asuscomm.com,12345,Possible NanoKVM Domain (Unverified),79.116.31.38
iex.synology.me,17171,Possible PiKVM Domain (Unverified),185.143.146.25
ifhtp.com,1380,Possible NanoKVM Domain (Unverified),24.141.29.13
img.jd-tcc.com,8009,Possible PiKVM Domain (Unverified),47.97.165.76
immich.jmehr.dk,6311,Possible NanoKVM Domain (Unverified),5.103.215.195
immich.office.martinezad.es,58115,Possible NanoKVM Domain (Unverified),83.53.71.244
influxdb.cptarn.com,25000,Possible GLKVM Domain (Unverified),213.119.77.96
intra.cweave.fr,444,Possible NanoKVM Domain (Unverified),176.144.202.21
invtoken.com,4545,Possible NanoKVM Domain (Unverified),178.124.156.241
iot.fzfrd.com,53100,Possible PiKVM Domain (Unverified),183.250.202.67
iot.fzfrd.com,53102,Possible PiKVM Domain (Unverified),183.250.202.67
ipkvm.pub,608,Possible GLKVM Domain (Unverified),222.128.48.207
iron-rock.direct.quickconnect.to,44004,Possible GLKVM Domain (Unverified),107.221.55.208
