dest_ip,dest_port,metadata_comment
45.74.31.22,23065,socks5
193.23.200.117,1085,socks5
45.74.31.22,14223,socks5
49.147.48.96,8099,http
195.190.118.86,8080,http
105.214.54.240,5678,socks4
41.216.191.186,8080,http
45.74.31.42,8148,socks5
112.202.230.201,8082,http
196.75.153.200,1110,http
223.207.114.63,8080,http
45.74.31.42,10733,socks5
131.153.163.86,25698,http
102.208.228.90,3128,http
45.74.31.23,7311,socks5
105.214.51.155,5678,socks4
49.151.184.212,8082,http
45.74.31.42,8984,socks5
45.74.31.23,10406,socks5
174.138.161.190,32867,http
87.239.251.202,1081,socks5
45.74.31.23,7320,socks5
151.158.121.73,8080,http
45.74.31.23,17223,socks5
45.74.31.42,12753,socks5
174.138.162.37,30972,http
45.74.31.42,6732,socks5
45.74.31.23,14653,socks5
45.74.31.23,5637,socks5
31.148.13.96,1080,socks4
34.88.203.55,3128,http
194.186.5.21,1080,socks5
45.74.31.22,16305,socks5
143.105.108.210,1080,socks4
46.8.104.176,1080,socks4
84.253.122.42,1080,socks5
145.220.227.3,9050,http
45.74.31.40,9642,socks5
45.74.31.40,9830,socks5
49.51.233.28,1080,socks5
49.234.4.115,80,socks5
213.21.53.119,4153,socks4
5.3.153.163,1080,socks5
131.153.163.86,24710,http
188.134.95.74,1080,socks5
45.74.31.42,9450,socks5
195.14.113.24,1080,socks5
180.165.19.173,4153,socks4
186.246.31.197,9050,socks5
45.74.31.40,9865,socks5
200.229.65.172,3128,http
83.218.186.22,5678,socks4
203.150.128.103,8080,http
45.74.31.42,16030,socks5
45.74.31.23,5616,socks5
146.196.63.234,4145,socks4
190.14.225.185,999,http
95.31.34.17,1080,socks5
111.95.55.210,8080,http
45.74.31.42,12131,socks5
45.74.31.22,10612,socks5
45.74.31.42,8166,socks5
45.74.31.22,4018,socks5
45.74.31.42,33846,socks5
89.235.190.174,1080,socks5
45.74.31.23,16248,socks5
45.74.31.22,13663,socks5
174.138.165.211,36003,http
45.74.31.40,12819,socks5
45.74.31.42,8703,socks5
45.74.31.23,4449,socks5
174.138.165.211,36151,http
45.74.31.42,5924,socks5
171.33.246.100,1080,socks5
45.74.31.22,15668,socks5
45.74.31.22,12892,socks5
45.74.31.42,33600,socks5
187.147.164.22,8080,http
45.74.31.42,10315,socks5
220.196.222.235,9999,http
139.162.146.29,3128,http
205.209.66.81,8080,http
45.74.31.23,12429,socks5
196.75.165.9,1088,http
45.135.148.26,1080,socks5
45.74.31.23,17409,socks5
174.138.161.190,9306,http
45.74.31.22,15722,socks5
45.74.31.42,8848,socks5
45.74.31.23,15792,socks5
174.138.162.37,36245,http
45.74.31.40,6667,socks5
45.74.31.23,14246,socks5
45.74.31.42,8753,socks5
89.151.133.216,8080,http
45.74.31.23,7186,socks5
83.234.14.211,1080,socks5
45.74.31.42,10743,socks5
112.208.167.50,8082,http
103.137.148.253,1080,socks4
105.214.51.182,5678,socks4
81.29.249.82,5071,socks5
45.74.31.23,8633,socks5
45.74.31.40,10019,socks5
45.74.31.23,42189,socks5
200.31.12.189,999,http
45.74.31.23,8167,socks5
45.74.31.23,5033,socks5
93.127.133.109,1081,socks5
27.124.12.186,1080,socks5
193.227.129.196,53122,http
103.160.41.8,8080,http
192.144.37.69,9050,socks5
124.121.183.238,8080,http
174.138.162.234,39798,http
45.74.31.23,12894,socks5
45.74.31.23,17384,socks5
102.164.212.90,8080,http
210.211.113.34,80,http
120.232.115.170,17981,http
45.74.31.22,15639,socks5
45.74.31.40,26412,socks5
45.74.31.42,14303,socks5
45.74.31.22,7419,socks5
180.191.232.80,5002,http
95.142.38.208,10809,socks5
45.74.31.23,5162,socks5
163.223.77.236,6666,socks5
5.8.204.148,7080,socks5
170.246.199.114,5678,socks4
45.74.31.23,13255,socks5
93.91.156.65,8080,http
14.103.200.3,3128,http
45.74.31.22,8591,socks5
188.93.64.242,4153,socks4
109.75.42.82,3629,socks4
45.74.31.22,4227,socks5
180.191.98.117,8080,http
